PD,Score,Decision
0.3276125510022852,867.9615130742877,Approve
0.6369487113911803,775.5462130239433,Approve
0.343912708593649,862.6886721076903,Approve
0.3428306917421335,863.0348463437233,Approve
0.6829536186987742,760.741720042594,Approve
0.3589607597844609,857.9257311993124,Approve
0.3330652348198666,866.1834487462695,Approve
0.5084049967806163,813.6710068393489,Approve
0.2238281433237659,905.7956385607226,Approve
0.6731333291276693,763.9869041578532,Approve
0.4380793879570633,834.0551040070861,Approve
0.5231536906100371,809.4108803304507,Approve
0.6344192944966539,776.3340688521221,Approve
0.7375504193276717,741.5613355633478,Approve
0.5790977226170512,793.0803293681546,Approve
0.4400152596363377,833.4881026020975,Approve
0.4662474579448188,825.8501635521895,Approve
0.2651516948889265,889.6278294652169,Approve
0.662861558548339,767.3280821414893,Approve
0.1874208622700958,921.9077434081755,Approve
0.2593834029220541,891.778440298918,Approve
0.169539187578095,930.7110704119103,Approve
0.3430621663935334,862.9607458793995,Approve
0.3960671056464456,846.5285731156614,Approve
0.2662877277851181,889.2078284718726,Approve
0.6259467692644708,778.9565855729116,Approve
0.5220779864402513,809.7218993809502,Approve
0.4584280095312452,828.1193013466808,Approve
0.3854259522487827,849.7530611846141,Approve
0.5672024504040473,796.5878330296906,Approve
0.326006976399995,868.487945772672,Approve
0.2783732869844303,884.8080032324865,Approve
0.5464073905753691,802.6674115807018,Approve
0.2881407377184678,881.3373246021196,Approve
0.3296928788484897,867.2813814761203,Approve
0.6221732099043665,780.1168410142043,Approve
0.2561615552475738,892.993171865427,Approve
0.760607749214692,732.7075954933518,Approve
0.1497620591612595,941.3561278619629,Approve
0.6529476571767089,770.5057009310788,Approve
0.7313380735382456,743.8590753874433,Approve
0.144346189496132,944.4711142707681,Approve
0.4589514566677584,827.9672283412646,Approve
0.2657499007669153,889.4065248686613,Approve
0.4270713688397353,837.2903174404378,Approve
0.6938753513536359,757.0685394656277,Approve
0.3768982174941288,852.3610483494072,Approve
0.6400478994979172,774.5776577722698,Approve
0.5703154715747519,795.672287762831,Approve
0.6204296382051561,780.6513917331414,Approve
0.3662281047535621,855.6574634993409,Approve
0.2652080692620911,889.6069603200806,Approve
0.6583363208728966,768.7840094668015,Approve
0.3759198718265185,852.6617094185787,Approve
0.4433972109511414,832.4988268636068,Approve
0.4802313764985795,821.8033987158437,Approve
0.3984535188147269,845.8096437484688,Approve
0.51028596801494,813.1280829521573,Approve
0.5200698284745874,810.3023632326801,Approve
0.7442716037619593,739.0355634165611,Approve
0.3234895560698618,869.3160583128513,Approve
0.4085441533083786,842.7853280912789,Approve
0.2624109042400944,890.6458875751941,Approve
0.4108938423133411,842.0845008770627,Approve
0.1724597845683151,929.2248767636877,Approve
0.5266886071490271,808.3883745521746,Approve
0.6378841555895052,775.2542477241816,Approve
0.215882496780854,909.1375840616959,Approve
0.2550030894231513,893.4323905993656,Approve
0.4376794538751813,834.172309769419,Approve
0.2739432766766521,886.4066580989567,Approve
0.5332503999257125,806.4881869319065,Approve
0.2845790467371318,882.5945512949429,Approve
0.6493909299194957,771.6352089351736,Approve
0.8502767046605189,690.8147194613206,Approve
0.3552804191010277,859.0820858564527,Approve
0.4525387212357964,829.8321891160726,Approve
0.1783600384427165,926.2821014967928,Approve
0.4565214409837917,828.6734297765508,Approve
0.3609883048888329,857.2909166068298,Approve
0.4022377454878251,844.6725713805135,Approve
0.5441827587766223,803.314617077032,Approve
0.5500290745657441,801.6125999496211,Approve
0.4918122696848311,818.4590955335142,Approve
0.5436139573709918,803.480013407328,Approve
0.5956257163695189,788.1606651004574,Approve
0.4558213786547584,828.8769892070559,Approve
0.8712061531067423,678.198881098454,Approve
0.7771624295065229,725.9852214403785,Approve
0.6749627083194953,763.386277405866,Approve
0.622935431893422,779.8828525648851,Approve
0.5325749563575959,806.6839269163705,Approve
0.3850167324352662,849.8777053933917,Approve
0.7133415871782303,750.3333815382258,Approve
0.8791350478233689,672.961962667914,Approve
0.5823467920632385,792.1177534451459,Approve
0.8270901681976208,703.1951690273701,Approve
0.7214435730019481,747.4505568857137,Approve
0.3861512427173114,849.5322661260611,Approve
0.4842955123916795,820.6292530025977,Approve
0.4755272719713629,823.1633883847521,Approve
0.2920126324248904,879.9810466287563,Approve
0.629893360955605,777.7380752364943,Approve
0.2436099616667228,897.824266451998,Approve
0.427442654526826,837.1808704576931,Approve
0.2994883534037349,877.3918615815987,Approve
0.1039645799938882,971.4695880818799,Approve
0.2724336249365903,886.955109317894,Approve
0.252530817783999,894.3741367432276,Approve
0.3589357519206103,857.9335708408651,Approve
0.2318796205433561,902.494224609006,Approve
0.7881805383788892,721.3118557802163,Approve
0.4984439387659863,816.5453905590198,Approve
0.4848137831062595,820.479568837229,Approve
0.5276715698977701,808.1039107641727,Approve
0.6050650166093319,785.3226544248524,Approve
0.1156918851206754,962.8094774294393,Approve
0.5318242578415684,806.9014348247498,Approve
0.1795077367712254,925.7185899728893,Approve
0.7492743959380648,737.127163678714,Approve
0.3392296319655038,864.1907445070145,Approve
0.724694137946956,746.2795599933158,Approve
0.6583619082573874,768.7758034645426,Approve
0.5850418214577171,791.3177139102859,Approve
0.5372610140556578,805.3251796394832,Approve
0.4888981843878734,819.3002381772501,Approve
0.5706874732411276,795.5627734199156,Approve
0.49866928795112,816.480367985684,Approve
0.7260182034926703,745.8001208203593,Approve
0.4055995658075813,843.6653578333814,Approve
0.4730379412120655,823.883564168334,Approve
0.4396820034505958,833.585672114236,Approve
0.5021487827043035,815.4763932970487,Approve
0.6449118028818638,773.0501814270514,Approve
0.575567362429159,794.1239453961334,Approve
0.2340960875980927,901.5995339898107,Approve
0.2874686396530188,881.5738514060534,Approve
0.2472719468554407,896.397913009899,Approve
0.6263184786111723,778.8420437344911,Approve
0.8896327223275166,665.5515368916624,Approve
0.4001296300800578,845.3055700767808,Approve
0.4344285115504483,835.125934873848,Approve
0.6479367455417704,772.0954887649646,Approve
0.484568940427531,820.5502817898949,Approve
0.2972929596592531,878.1483074618577,Approve
0.6570168135008637,769.2067829799079,Approve
0.5023181130462983,815.4275339127491,Approve
0.1460332737629749,943.4905413779818,Approve
0.4282462950805982,836.9440569519414,Approve
0.4411204856752878,833.1646314066965,Approve
0.7292776554019893,744.6136935746522,Approve
0.2678622806291073,888.627585386926,Approve
0.2275398272673029,904.263477871768,Approve
0.6068738288200717,784.7761949272384,Approve
0.6806924099300902,761.4935959307043,Approve
0.532852011520997,806.6036420176099,Approve
0.3766258525262853,852.4447193128598,Approve
0.6453896561714789,772.8996129480288,Approve
0.4003389992781143,845.2426540331171,Approve
0.2187818076410294,907.9080431028218,Approve
0.6407115541479707,774.3697814442268,Approve
0.4815039443325018,821.4356746392152,Approve
0.6543352167766268,770.0635901345814,Approve
0.6170860599556303,781.6738286636324,Approve
0.3269523075107977,868.1778314041862,Approve
0.3161614640498323,871.7461143275149,Approve
0.4200598763752822,839.361853137768,Approve
0.6150826355455407,782.2848301468198,Approve
0.3414719916792367,863.4702823383145,Approve
0.4688272287987116,825.1026463357447,Approve
0.5246714801329829,808.971934529274,Approve
0.5471108610555646,802.4626420254916,Approve
0.6580798439342836,768.8662465844484,Approve
